seed,mode,round,firm_id,proposal_price,executed_price
0,passive,36,0,1.64,1.64
0,passive,36,1,1.64,1.64
0,passive,37,0,1.64,1.64
0,passive,37,1,1.64,1.64
0,passive,38,0,1.64,1.64
0,passive,38,1,1.64,1.64
0,passive,39,0,1.64,1.64
0,passive,39,1,1.64,1.64
0,passive,40,0,1.64,1.64
0,passive,40,1,1.64,1.64
0,revision,1,0,2.0,2.0
0,revision,1,1,2.1,2.1
0,revision,2,0,2.05,2.05
0,revision,2,1,2.0,2.0
0,revision,3,0,1.98,1.98
0,revision,3,1,2.02,2.02
0,revision,4,0,2.01,2.01
0,revision,4,1,1.96,1.96
0,revision,5,0,1.95,1.95
0,revision,5,1,1.95,1.95
0,revision,6,0,1.97,1.97
0,revision,6,1,1.98,1.98
0,revision,7,0,1.99,1.99
0,revision,7,1,1.96,1.96
0,revision,8,0,1.96,1.96
0,revision,8,1,1.97,1.97
0,revision,9,0,1.97,1.97
0,revision,9,1,1.96,1.96
0,revision,10,0,1.95,1.95
0,revision,10,1,1.96,1.96
0,revision,11,0,1.94,1.73
0,revision,11,1,1.96,1.72
0,revision,12,0,1.73,1.73
0,revision,12,1,1.72,1.72
0,revision,13,0,1.73,1.73
0,revision,13,1,1.72,1.72
0,revision,14,0,1.73,1.73
0,revision,14,1,1.72,1.72
0,revision,15,0,1.73,1.73
0,revision,15,1,1.72,1.72
0,revision,16,0,1.73,1.73
0,revision,16,1,1.72,1.72
0,revision,17,0,1.73,1.73
0,revision,17,1,1.72,1.72
0,revision,18,0,1.73,1.73
0,revision,18,1,1.72,1.72
0,revision,19,0,1.73,1.73
0,revision,19,1,1.72,1.72
0,revision,20,0,1.73,1.73
0,revision,20,1,1.72,1.72
0,revision,21,0,1.73,1.73
0,revision,21,1,1.72,1.72
0,revision,22,0,1.73,1.73
0,revision,22,1,1.72,1.72
0,revision,23,0,1.73,1.73
0,revision,23,1,1.72,1.72
0,revision,24,0,1.73,1.73
0,revision,24,1,1.72,1.72
0,revision,25,0,1.73,1.73
0,revision,25,1,1.72,1.72
0,revision,26,0,1.73,1.73
0,revision,26,1,1.72,1.72
0,revision,27,0,1.73,1.73
0,revision,27,1,1.72,1.72
0,revision,28,0,1.73,1.73
0,revision,28,1,1.72,1.72
0,revision,29,0,1.73,1.73
0,revision,29,1,1.72,1.72
0,revision,30,0,1.73,1.73
0,revision,30,1,1.72,1.72
0,revision,31,0,1.73,1.73
0,revision,31,1,1.72,1.72
0,revision,32,0,1.73,1.73
0,revision,32,1,1.72,1.72
0,revision,33,0,1.73,1.73
0,revision,33,1,1.72,1.72
0,revision,34,0,1.73,1.73
0,revision,34,1,1.72,1.72
0,revision,35,0,1.73,1.73
0,revision,35,1,1.72,1.72
0,revision,36,0,1.73,1.73
0,revision,36,1,1.72,1.72
0,revision,37,0,1.73,1.73
0,revision,37,1,1.72,1.72
0,revision,38,0,1.73,1.73
0,revision,38,1,1.72,1.72
0,revision,39,0,1.73,1.73
0,revision,39,1,1.72,1.72
0,revision,40,0,1.73,1.73
0,revision,40,1,1.72,1.72
0,veto,1,0,2.0,2.0
0,veto,1,1,2.1,2.1
0,veto,2,0,2.05,2.05
0,veto,2,1,1.9,1.9
0,veto,3,0,1.95,1.95
0,veto,3,1,1.85,1.85
0,veto,4,0,1.82,1.82
0,veto,4,1,1.9,1.9
0,veto,5,0,1.88,1.88
0,veto,5,1,1.81,1.81
0,veto,6,0,1.8,1.8
0,veto,6,1,1.85,1.85
0,veto,7,0,1.83,1.83
0,veto,7,1,1.78,1.78
0,veto,8,0,1.78,1.78
0,veto,8,1,1.81,1.81
0,veto,9,0,1.81,1.81
0,veto,9,1,1.76,1.76
0,veto,10,0,1.77,1.77
0,veto,10,1,1.77,1.77
0,veto,11,0,1.79,1.5908400000000003
0,veto,11,1,1.74,1.5908400000000003
0,veto,12,0,1.58,1.58
0,veto,12,1,1.58,1.58
0,veto,13,0,1.585,1.585
0,veto,13,1,1.57,1.57
0,veto,14,0,1.579,1.579
0,veto,14,1,1.58,1.58
0,veto,15,0,1.58,1.58
0,veto,15,1,1.572,1.572
0,veto,16,0,1.5785,1.5785
0,veto,16,1,1.569,1.569
0,veto,17,0,1.581,1.581
0,veto,17,1,1.575,1.575
0,veto,18,0,1.5795,1.5795
0,veto,18,1,1.578,1.578
0,veto,19,0,1.5815,1.5815
0,veto,19,1,1.573,1.573
0,veto,20,0,1.579,1.579
0,veto,20,1,1.571,1.571
0,veto,21,0,1.581,1.581
0,veto,21,1,1.574,1.574
0,veto,22,0,1.5788,1.5788
0,veto,22,1,1.572,1.572
0,veto,23,0,1.578,1.578
0,veto,23,1,1.573,1.573
0,veto,24,0,1.5805,1.5805
0,veto,24,1,1.5715,1.5715
0,veto,25,0,1.5785,1.5785
0,veto,25,1,1.5725,1.5725
0,veto,26,0,1.58,1.58
0,veto,26,1,1.571,1.571
0,veto,27,0,1.578,1.578
0,veto,27,1,1.5722,1.5722
0,veto,28,0,1.5805,1.5805
0,veto,28,1,1.5712,1.5712
0,veto,29,0,1.5785,1.5785
0,veto,29,1,1.5724,1.5724
0,veto,30,0,1.5802,1.5802
0,veto,30,1,1.5713,1.5713
0,veto,31,0,1.5782,1.5782
0,veto,31,1,1.5723,1.5723
0,veto,32,0,1.5804,1.5804
0,veto,32,1,1.5712,1.5712
0,veto,33,0,1.5783,1.5783
0,veto,33,1,1.5723,1.5723
0,veto,34,0,1.5803,1.5803
0,veto,34,1,1.5712,1.5712
0,veto,35,0,1.5784,1.5784
0,veto,35,1,1.5723,1.5723
0,veto,36,0,1.5802,1.5802
0,veto,36,1,1.5712,1.5712
0,veto,37,0,1.5785,1.5785
0,veto,37,1,1.5723,1.5723
0,veto,38,0,1.5803,1.5803
0,veto,38,1,1.5712,1.5712
0,veto,39,0,1.5784,1.5784
0,veto,39,1,1.5723,1.5723
0,veto,40,0,1.5804,1.5804
0,veto,40,1,1.5712,1.5712
1,passive,1,0,2.0,2.0
1,passive,1,1,2.05,2.05
1,passive,2,0,1.95,1.95
1,passive,2,1,1.95,1.95
1,passive,3,0,2.05,2.05
1,passive,3,1,1.88,1.88
1,passive,4,0,1.96,1.96
1,passive,4,1,1.9,1.9
1,passive,5,0,1.93,1.93
1,passive,5,1,1.87,1.87
1,passive,6,0,1.95,1.95
1,passive,6,1,1.85,1.85
1,passive,7,0,1.91,1.91
1,passive,7,1,1.81,1.81
1,passive,8,0,1.87,1.87
1,passive,8,1,1.84,1.84
1,passive,9,0,1.89,1.89
1,passive,9,1,1.82,1.82
1,passive,10,0,1.86,1.86
1,passive,10,1,1.84,1.84
1,passive,11,0,1.85,1.85
1,passive,11,1,1.82,1.82
1,passive,12,0,1.86,1.86
1,passive,12,1,1.79,1.79
1,passive,13,0,1.83,1.83
1,passive,13,1,1.77,1.77
1,passive,14,0,1.84,1.84
1,passive,14,1,1.8,1.8
1,passive,15,0,1.85,1.85
1,passive,15,1,1.78,1.78
1,passive,16,0,1.83,1.83
1,passive,16,1,1.79,1.79
1,passive,17,0,1.84,1.84
1,passive,17,1,1.77,1.77
1,passive,18,0,1.82,1.82
1,passive,18,1,1.78,1.78
1,passive,19,0,1.83,1.83
1,passive,19,1,1.76,1.76
1,passive,20,0,1.81,1.81
1,passive,20,1,1.77,1.77
1,passive,21,0,1.82,1.82
1,passive,21,1,1.75,1.75
1,passive,22,0,1.8,1.8
1,passive,22,1,1.76,1.76
1,passive,23,0,1.79,1.79
1,passive,23,1,1.74,1.74
1,passive,24,0,1.81,1.81
1,passive,24,1,1.75,1.75
1,passive,25,0,1.8,1.8
1,passive,25,1,1.75,1.75
1,passive,26,0,1.8,1.8
1,passive,26,1,1.75,1.75
1,passive,27,0,1.8,1.8
1,passive,27,1,1.75,1.75
1,passive,28,0,1.8,1.8
1,passive,28,1,1.75,1.75
1,passive,29,0,1.8,1.8
1,passive,29,1,1.75,1.75
1,passive,30,0,1.8,1.8
1,passive,30,1,1.75,1.75
1,passive,31,0,1.8,1.8
1,passive,31,1,1.75,1.75
1,passive,32,0,1.8,1.8
1,passive,32,1,1.75,1.75
1,passive,33,0,1.8,1.8
1,passive,33,1,1.75,1.75
1,passive,34,0,1.8,1.8
1,passive,34,1,1.75,1.75
1,passive,35,0,1.8,1.8
1,passive,35,1,1.75,1.75
1,passive,36,0,1.8,1.8
1,passive,36,1,1.75,1.75
1,passive,37,0,1.8,1.8
1,passive,37,1,1.75,1.75
1,passive,38,0,1.8,1.8
1,passive,38,1,1.75,1.75
1,passive,39,0,1.8,1.8
1,passive,39,1,1.75,1.75
1,passive,40,0,1.8,1.8
1,passive,40,1,1.75,1.75
1,revision,1,0,2.0,2.0
1,revision,1,1,2.0,2.0
1,revision,2,0,1.9,1.9
1,revision,2,1,2.05,2.05
1,revision,3,0,1.8,1.8
1,revision,3,1,1.95,1.95
1,revision,4,0,1.88,1.88
1,revision,4,1,1.85,1.85
1,revision,5,0,1.82,1.82
1,revision,5,1,1.88,1.88
1,revision,6,0,1.85,1.85
1,revision,6,1,1.81,1.81
1,revision,7,0,1.8,1.8
1,revision,7,1,1.84,1.84
1,revision,8,0,1.83,1.83
1,revision,8,1,1.82,1.82
1,revision,9,0,1.79,1.79
1,revision,9,1,1.81,1.81
1,revision,10,0,1.78,1.78
1,revision,10,1,1.8,1.8
1,revision,11,0,1.79,1.68
1,revision,11,1,1.81,1.72
1,revision,12,0,1.67,1.65
1,revision,12,1,1.71,1.69
1,revision,13,0,1.66,1.63
1,revision,13,1,1.7,1.68
1,revision,14,0,1.63,1.63
1,revision,14,1,1.66,1.66
1,revision,15,0,1.63,1.63
1,revision,15,1,1.65,1.65
1,revision,16,0,1.63,1.63
1,revision,16,1,1.64,1.64
1,revision,17,0,1.63,1.63
1,revision,17,1,1.63,1.63
1,revision,18,0,1.63,1.63
1,revision,18,1,1.62,1.62
1,revision,19,0,1.63,1.63
1,revision,19,1,1.61,1.61
1,revision,20,0,1.63,1.63
1,revision,20,1,1.6,1.6
1,revision,21,0,1.59,1.59
1,revision,21,1,1.59,1.59
1,revision,22,0,1.59,1.59
1,revision,22,1,1.58,1.58
1,revision,23,0,1.58,1.58
1,revision,23,1,1.57,1.57
1,revision,24,0,1.58,1.58
1,revision,24,1,1.58,1.58
1,revision,25,0,1.58,1.58
1,revision,25,1,1.57,1.57
1,revision,26,0,1.58,1.58
1,revision,26,1,1.56,1.56
1,revision,27,0,1.58,1.58
1,revision,27,1,1.55,1.55
1,revision,28,0,1.57,1.57
1,revision,28,1,1.54,1.54
1,revision,29,0,1.57,1.57
1,revision,29,1,1.55,1.55
1,revision,30,0,1.57,1.57
1,revision,30,1,1.53,1.53
1,revision,31,0,1.56,1.56
1,revision,31,1,1.52,1.52
1,revision,32,0,1.56,1.56
1,revision,32,1,1.51,1.51
1,revision,33,0,1.55,1.55
1,revision,33,1,1.51,1.51
1,revision,34,0,1.55,1.55
1,revision,34,1,1.5,1.5
1,revision,35,0,1.54,1.54
1,revision,35,1,1.51,1.51
1,revision,36,0,1.54,1.54
1,revision,36,1,1.5,1.5
1,revision,37,0,1.53,1.53
1,revision,37,1,1.5,1.5
1,revision,38,0,1.53,1.53
1,revision,38,1,1.5,1.5
1,revision,39,0,1.53,1.53
1,revision,39,1,1.5,1.5
1,revision,40,0,1.53,1.53
1,revision,40,1,1.5,1.5
1,revision,41,0,1.53,1.53
1,revision,41,1,1.5,1.5
1,revision,42,0,1.53,1.53
1,revision,42,1,1.5,1.5
1,revision,43,0,1.53,1.53
1,revision,43,1,1.5,1.5
1,revision,44,0,1.53,1.53
1,revision,44,1,1.5,1.5
1,revision,45,0,1.53,1.53
1,revision,45,1,1.5,1.5
1,revision,46,0,1.53,1.53
1,revision,46,1,1.5,1.5
1,revision,47,0,1.53,1.53
1,revision,47,1,1.5,1.5
1,revision,48,0,1.53,1.53
1,revision,48,1,1.5,1.5
1,revision,49,0,1.53,1.53
1,revision,49,1,1.5,1.5
1,revision,50,0,1.53,1.53
1,revision,50,1,1.5,1.5
1,revision,51,0,1.53,1.53
1,revision,51,1,1.5,1.5
1,revision,52,0,1.53,1.53
1,revision,52,1,1.5,1.5
1,revision,53,0,1.53,1.53
1,revision,53,1,1.5,1.5
1,revision,54,0,1.53,1.53
1,revision,54,1,1.5,1.5
1,revision,55,0,1.53,1.53
1,revision,55,1,1.5,1.5
1,veto,1,0,2.0,2.0
1,veto,1,1,2.1,2.1
1,veto,2,0,2.05,2.05
1,veto,2,1,2.05,2.05
1,veto,3,0,1.95,1.95
1,veto,3,1,2.0,2.0
1,veto,4,0,2.0,2.0
1,veto,4,1,2.05,2.05
1,veto,5,0,1.98,1.98
1,veto,5,1,2.03,2.03
1,veto,6,0,2.0,2.0
1,veto,6,1,2.02,2.02
1,veto,7,0,1.99,1.99
1,veto,7,1,2.03,2.03
1,veto,8,0,1.97,1.97
1,veto,8,1,2.02,2.02
1,veto,9,0,1.96,1.96
1,veto,9,1,2.01,2.01
1,veto,10,0,1.95,1.95
1,veto,10,1,2.0,2.0
1,veto,11,0,1.95,1.5908400000000003
1,veto,11,1,1.99,1.5908400000000003
1,veto,12,0,1.58,1.58
1,veto,12,1,1.85,1.5908400000000003
1,veto,13,0,1.585,1.585
1,veto,13,1,1.59,1.59
1,veto,14,0,1.58,1.58
1,veto,14,1,1.59,1.59
1,veto,15,0,1.578,1.578
1,veto,15,1,1.59,1.59
1,veto,16,0,1.58,1.58
1,veto,16,1,1.59,1.59
1,veto,17,0,1.578,1.578
1,veto,17,1,1.59,1.59
1,veto,18,0,1.576,1.576
1,veto,18,1,1.59,1.59
1,veto,19,0,1.574,1.574
1,veto,19,1,1.59,1.59
1,veto,20,0,1.572,1.572
1,veto,20,1,1.59,1.59
1,veto,21,0,1.57,1.57
1,veto,21,1,1.59,1.59
1,veto,22,0,1.568,1.568
1,veto,22,1,1.59,1.59
1,veto,23,0,1.566,1.566
1,veto,23,1,1.59,1.59
1,veto,24,0,1.564,1.564
1,veto,24,1,1.59,1.59
1,veto,25,0,1.56,1.56
1,veto,25,1,1.59,1.59
1,veto,26,0,1.55,1.55
1,veto,26,1,1.59,1.59
1,veto,27,0,1.54,1.54
1,veto,27,1,1.59,1.59
1,veto,28,0,1.53,1.53
1,veto,28,1,1.59,1.59
1,veto,29,0,1.523,1.523
1,veto,29,1,1.59,1.59
1,veto,30,0,1.523,1.523
1,veto,30,1,1.59,1.59
1,veto,31,0,1.5228,1.5228
1,veto,31,1,1.59,1.59
1,veto,32,0,1.5228,1.5228
1,veto,32,1,1.59,1.59
1,veto,33,0,1.5228,1.5228
1,veto,33,1,1.59,1.59
1,veto,34,0,1.5228,1.5228
1,veto,34,1,1.59,1.59
1,veto,35,0,1.5228,1.5228
1,veto,35,1,1.59,1.59
1,veto,36,0,1.5228,1.5228
1,veto,36,1,1.59,1.59
1,veto,37,0,1.5228,1.5228
1,veto,37,1,1.59,1.59
1,veto,38,0,1.5228,1.5228
1,veto,38,1,1.59,1.59
1,veto,39,0,1.5228,1.5228
1,veto,39,1,1.59,1.59
1,veto,40,0,1.5228,1.5228
1,veto,40,1,1.59,1.59
1,veto,41,0,1.5228,1.5228
1,veto,41,1,1.59,1.59
1,veto,42,0,1.5228,1.5228
1,veto,42,1,1.59,1.59
1,veto,43,0,1.5228,1.5228
1,veto,43,1,1.59,1.59
1,veto,44,0,1.5228,1.5228
1,veto,44,1,1.59,1.59
1,veto,45,0,1.5228,1.5228
1,veto,45,1,1.59,1.59
